id;id_kpi;id_region;Año;mes;numerador;denominador;resultado
t_1_1;t_1;01;2023;9;NULL;NULL;0,9212828
t_1_10;t_1;10;2023;9;NULL;NULL;0,90350877
t_1_11;t_1;11;2023;9;NULL;NULL;0,73015873
t_1_12;t_1;12;2023;9;NULL;NULL;0,88732394
t_1_13;t_1;13;2023;9;NULL;NULL;0,95186217
t_1_14;t_1;14;2023;9;NULL;NULL;0,75
t_1_15;t_1;15;2023;9;NULL;NULL;0,74468085
t_1_16;t_1;16;2023;9;NULL;NULL;0,8566879
t_1_2;t_1;02;2023;9;NULL;NULL;0,85964912
t_1_3;t_1;03;2023;9;NULL;NULL;0,94339623
t_1_4;t_1;04;2023;9;NULL;NULL;0,79098361
t_1_5;t_1;05;2023;9;NULL;NULL;0,68852459
t_1_6;t_1;06;2023;9;NULL;NULL;0,79919679
t_1_7;t_1;07;2023;9;NULL;NULL;0,89889706
t_1_8;t_1;08;2023;9;NULL;NULL;0,75689223
t_1_9;t_1;09;2023;9;NULL;NULL;0,73517787
t_2_1;t_2;01;2023;9;NULL;NULL;0,5
t_2_10;t_2;10;2023;9;NULL;NULL;0,63
t_2_11;t_2;11;2023;9;NULL;NULL;0,67
t_2_12;t_2;12;2023;9;NULL;NULL;0,67
t_2_13;t_2;13;2023;9;NULL;NULL;0,47
t_2_14;t_2;14;2023;9;NULL;NULL;0,5
t_2_15;t_2;15;2023;9;NULL;NULL;0,67
t_2_16;t_2;16;2023;9;NULL;NULL;0,6
t_2_2;t_2;02;2023;9;NULL;NULL;0,75
t_2_3;t_2;03;2023;9;NULL;NULL;1
t_2_4;t_2;04;2023;9;NULL;NULL;0,5
t_2_5;t_2;05;2023;9;NULL;NULL;0,31
t_2_6;t_2;06;2023;9;NULL;NULL;0,38
t_2_7;t_2;07;2023;9;NULL;NULL;0,5
t_2_8;t_2;08;2023;9;NULL;NULL;0,54
t_2_9;t_2;09;2023;9;NULL;NULL;0,5
t_3_1;t_3;01;2023;9;NULL;NULL;0,73
t_3_10;t_3;10;2023;9;NULL;NULL;0,5
t_3_11;t_3;11;2023;9;NULL;NULL;0,43
t_3_12;t_3;12;2023;9;NULL;NULL;0,5
t_3_13;t_3;13;2023;9;NULL;NULL;0,58
t_3_14;t_3;14;2023;9;NULL;NULL;0,64
t_3_15;t_3;15;2023;9;NULL;NULL;0,63
t_3_16;t_3;16;2023;9;NULL;NULL;0,59
t_3_2;t_3;02;2023;9;NULL;NULL;0,52
t_3_3;t_3;03;2023;9;NULL;NULL;0,5
t_3_4;t_3;04;2023;9;NULL;NULL;0,58
t_3_5;t_3;05;2023;9;NULL;NULL;0,52
t_3_6;t_3;06;2023;9;NULL;NULL;0,4
t_3_7;t_3;07;2023;9;NULL;NULL;0,6
t_3_8;t_3;08;2023;9;NULL;NULL;0,58
t_3_9;t_3;09;2023;9;NULL;NULL;0,58
t_4_1;t_4;01;2023;9;NULL;NULL;0,2
t_4_10;t_4;10;2023;9;NULL;NULL;0,6
t_4_11;t_4;11;2023;9;NULL;NULL;0,8
t_4_12;t_4;12;2023;9;NULL;NULL;0,6
t_4_13;t_4;13;2023;9;NULL;NULL;0,14
t_4_14;t_4;14;2023;9;NULL;NULL;0
t_4_15;t_4;15;2023;9;NULL;NULL;1
t_4_16;t_4;16;2023;9;NULL;NULL;0,8
t_4_2;t_4;02;2023;9;NULL;NULL;0,3
t_4_3;t_4;03;2023;9;NULL;NULL;0,5
t_4_4;t_4;04;2023;9;NULL;NULL;0,11
t_4_5;t_4;05;2023;9;NULL;NULL;0,19
t_4_6;t_4;06;2023;9;NULL;NULL;0,27
t_4_7;t_4;07;2023;9;NULL;NULL;0,8
t_4_8;t_4;08;2023;9;NULL;NULL;0,29
t_4_9;t_4;09;2023;9;NULL;NULL;0,67
t_5_1;t_5;01;2023;9;NULL;NULL;0,93379791
t_5_10;t_5;10;2023;9;NULL;NULL;0,93907875
t_5_11;t_5;11;2023;9;NULL;NULL;0,944
t_5_12;t_5;12;2023;9;NULL;NULL;0,95135135
t_5_13;t_5;13;2023;9;NULL;NULL;0,95101528
t_5_14;t_5;14;2023;9;NULL;NULL;0,88294314
t_5_15;t_5;15;2023;9;NULL;NULL;0,87591241
t_5_16;t_5;16;2023;9;NULL;NULL;0,75914634
t_5_2;t_5;02;2023;9;NULL;NULL;0,94298246
t_5_3;t_5;03;2023;9;NULL;NULL;0,89015152
t_5_4;t_5;04;2023;9;NULL;NULL;0,89365079
t_5_5;t_5;05;2023;9;NULL;NULL;0,79066023
t_5_6;t_5;06;2023;9;NULL;NULL;0,72643678
t_5_7;t_5;07;2023;9;NULL;NULL;0,89840348
t_5_8;t_5;08;2023;9;NULL;NULL;0,87692308
t_5_9;t_5;09;2023;9;NULL;NULL;0,89314516
t_6_1;t_6;01;2023;9;NULL;NULL;0,97
t_6_10;t_6;10;2023;9;NULL;NULL;1
t_6_11;t_6;11;2023;9;NULL;NULL;0,85578333
t_6_12;t_6;12;2023;9;NULL;NULL;0,98926667
t_6_13;t_6;13;2023;9;NULL;NULL;0,99058391
t_6_14;t_6;14;2023;9;NULL;NULL;0,89215
t_6_15;t_6;15;2023;9;NULL;NULL;0,998075
t_6_16;t_6;16;2023;9;NULL;NULL;1
t_6_2;t_6;02;2023;9;NULL;NULL;1
t_6_3;t_6;03;2023;9;NULL;NULL;1
t_6_4;t_6;04;2023;9;NULL;NULL;1
t_6_5;t_6;05;2023;9;NULL;NULL;0,97734286
t_6_6;t_6;06;2023;9;NULL;NULL;0,98358333
t_6_7;t_6;07;2023;9;NULL;NULL;1
t_6_8;t_6;08;2023;9;NULL;NULL;0,97378
t_6_9;t_6;09;2023;9;NULL;NULL;0,98308
